  Mh = 0.8

  Q 
0.10000E+01 0.10965E+01 0.12023E+01 0.13183E+01 0.14454E+01
0.15849E+01 0.17378E+01 0.19055E+01 0.20893E+01 0.22909E+01
0.25119E+01 0.27542E+01 0.30200E+01 0.33113E+01 0.36308E+01
0.39811E+01 0.43652E+01 0.47863E+01 0.52481E+01 0.57544E+01
0.63096E+01 0.69183E+01 0.75858E+01 0.83176E+01 0.91201E+01
0.10000E+02 0.10965E+02 0.12023E+02 0.13183E+02 0.14454E+02
0.15849E+02 0.17378E+02 0.19055E+02 0.20893E+02 0.22909E+02
0.25119E+02 0.27542E+02 0.30200E+02 0.33113E+02 0.36308E+02
0.39811E+02 0.43652E+02 0.47863E+02 0.52481E+02 0.57544E+02
0.63096E+02 0.69183E+02 0.75858E+02 0.83176E+02 0.91201E+02

  z 
0.20000E+00 0.22667E+00 0.25333E+00 0.28000E+00 0.30667E+00
0.33333E+00 0.36000E+00 0.38667E+00 0.41333E+00 0.44000E+00
0.46667E+00 0.49333E+00 0.52000E+00 0.54667E+00 0.57333E+00
0.60000E+00 0.62667E+00 0.65333E+00 0.68000E+00 0.70667E+00
0.73333E+00 0.76000E+00 0.78667E+00 0.81333E+00 0.84000E+00
0.86667E+00 0.89333E+00 0.92000E+00 0.94667E+00 0.97333E+00


  anti-t       anti-b       anti-c       anti-s       anti-u       anti-d       g            d            u            s            c            b            t
  0.00000E+00  0.00000E+00  0.79022E+00  0.79010E+00  0.11969E+01  0.12086E+01  0.39063E-01  0.12086E+01  0.11969E+01  0.79010E+00  0.79022E+00  0.00000E+00  0.00000E+00
  0.00000E+00 -0.83267E-16  0.75256E+00  0.75338E+00  0.11879E+01  0.12002E+01  0.34937E-01  0.12002E+01  0.11879E+01  0.75338E+00  0.75256E+00 -0.83267E-16  0.00000E+00
  0.00000E+00 -0.83267E-16  0.69405E+00  0.70563E+00  0.11566E+01  0.11690E+01  0.30952E-01  0.11690E+01  0.11566E+01  0.70563E+00  0.69405E+00 -0.83267E-16  0.00000E+00
  0.00000E+00 -0.83267E-16  0.62364E+00  0.65167E+00  0.11108E+01  0.11228E+01  0.27213E-01  0.11228E+01  0.11108E+01  0.65167E+00  0.62364E+00 -0.83267E-16  0.00000E+00
  0.00000E+00 -0.69389E-16  0.54815E+00  0.59500E+00  0.10560E+01  0.10675E+01  0.23772E-01  0.10675E+01  0.10560E+01  0.59500E+00  0.54815E+00 -0.69389E-16  0.00000E+00
  0.00000E+00 -0.12490E-15  0.47248E+00  0.53803E+00  0.99633E+00  0.10071E+01  0.20645E-01  0.10071E+01  0.99633E+00  0.53803E+00  0.47248E+00 -0.12490E-15  0.00000E+00
  0.00000E+00 -0.69389E-16  0.39993E+00  0.48234E+00  0.93424E+00  0.94407E+00  0.17829E-01  0.94407E+00  0.93424E+00  0.48234E+00  0.39993E+00 -0.69389E-16  0.00000E+00
  0.00000E+00  0.00000E+00  0.33266E+00  0.42896E+00  0.87140E+00  0.88025E+00  0.15309E-01  0.88025E+00  0.87140E+00  0.42896E+00  0.33266E+00  0.00000E+00  0.00000E+00
  0.00000E+00 -0.55511E-16  0.27195E+00  0.37851E+00  0.80880E+00  0.81665E+00  0.13065E-01  0.81665E+00  0.80880E+00  0.37851E+00  0.27195E+00 -0.55511E-16  0.00000E+00
  0.00000E+00  0.00000E+00  0.21843E+00  0.33134E+00  0.74701E+00  0.75388E+00  0.11073E-01  0.75388E+00  0.74701E+00  0.33134E+00  0.21843E+00  0.00000E+00  0.00000E+00
  0.00000E+00 -0.62450E-16  0.17226E+00  0.28761E+00  0.68635E+00  0.69228E+00  0.93144E-02  0.69228E+00  0.68635E+00  0.28761E+00  0.17226E+00 -0.62450E-16  0.00000E+00
  0.00000E+00 -0.20817E-16  0.13325E+00  0.24739E+00  0.62695E+00  0.63201E+00  0.77634E-02  0.63201E+00  0.62695E+00  0.24739E+00  0.13325E+00 -0.20817E-16  0.00000E+00
  0.00000E+00 -0.41633E-16  0.10098E+00  0.21065E+00  0.56888E+00  0.57315E+00  0.64018E-02  0.57315E+00  0.56888E+00  0.21065E+00  0.10098E+00 -0.41633E-16  0.00000E+00
  0.00000E+00 -0.20817E-16  0.74840E-01  0.17733E+00  0.51217E+00  0.51573E+00  0.52124E-02  0.51573E+00  0.51217E+00  0.17733E+00  0.74840E-01 -0.20817E-16  0.00000E+00
  0.00000E+00 -0.27756E-16  0.54138E-01  0.14733E+00  0.45685E+00  0.45979E+00  0.41796E-02  0.45979E+00  0.45685E+00  0.14733E+00  0.54138E-01 -0.27756E-16  0.00000E+00
  0.00000E+00 -0.13878E-16  0.38120E-01  0.12054E+00  0.40297E+00  0.40537E+00  0.32896E-02  0.40537E+00  0.40297E+00  0.12054E+00  0.38120E-01 -0.13878E-16  0.00000E+00
  0.00000E+00 -0.10408E-16  0.26034E-01  0.96850E-01  0.35061E+00  0.35255E+00  0.25304E-02  0.35255E+00  0.35061E+00  0.96850E-01  0.26034E-01 -0.10408E-16  0.00000E+00
  0.00000E+00 -0.10408E-16  0.17158E-01  0.76132E-01  0.29991E+00  0.30146E+00  0.18912E-02  0.30146E+00  0.29991E+00  0.76132E-01  0.17158E-01 -0.10408E-16  0.00000E+00
